paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,Unnamed: 5_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,Unnamed: 5_df2,jaccard_similarity,ID
558f35580cf222bc17bc1a3d,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2000,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Yannis E. Ioannidis, Anant Jhingran, Christos H. Papadimitriou",SIGMOD Record,2000,,0.6,558f35580cf222bc17bc1a3d53e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
558f35580cf222bc17bc1a3d,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2000,,53e99b0ab7602d970239c217,Reminiscences on Influential Papers.,Richard T. Snodgrass,SIGMOD Record,1998,,0.6,558f35580cf222bc17bc1a3d53e99b0ab7602d970239c217Reminiscences on Influential PapersReminiscences on Influential Papers.
558f35580cf222bc17bc1a3d,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2000,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, James R. Hamilton, Laks V. S. Lakshmanan, Limsoon Wong",SIGMOD Record,2001,,0.6,558f35580cf222bc17bc1a3d53e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
558f35580cf222bc17bc1a3d,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2000,,53e99b0ab7602d970239c218,Reminiscences on Influential Papers.,"Kenneth A. Ross, Stefano Ceri, Luis Gravano, Per-Åke Larson, Leonid Libkin, Tova Milo",SIGMOD Record,2001,,0.6,558f35580cf222bc17bc1a3d53e99b0ab7602d970239c218Reminiscences on Influential PapersReminiscences on Influential Papers.
558f35580cf222bc17bc1a3d,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2000,,53e99b0ab7602d970239c217,Reminiscences on Influential Papers.,"Richard T. Snodgrass, Laura M. Haas, Alberto O. Mendelzon, Z. Meral Özsoyoglu, Jan Paredaens, Krithi Ramamritham, Nick Roussopoulos, Jennifer Widom, Philip S. Yu",SIGMOD Record,1998,,0.6,558f35580cf222bc17bc1a3d53e99b0ab7602d970239c217Reminiscences on Influential PapersReminiscences on Influential Papers.
558f35580cf222bc17bc1a3d,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2000,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Frank Neven, Beng Chin Ooi",SIGMOD Record,2003,,0.6,558f35580cf222bc17bc1a3d53e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
558f35580cf222bc17bc1a3d,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2000,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Jiawei Han, Nick Koudas, Rajeev Rastogi, Daniel J. Rosenkrantz, Peter Scheuermann, Dan Suciu",SIGMOD Record,2001,,0.6,558f35580cf222bc17bc1a3d53e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
558f35580cf222bc17bc1a3d,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2000,,53e99b0ab7602d970239c216,Reminiscences on Influential Papers.,"Richard T. Snodgrass, Hector Garcia-Molina, Tomasz Imielinski, David Maier, Patricia G. Selinger, Jeffrey D. Ullman",SIGMOD Record,1998,,0.6,558f35580cf222bc17bc1a3d53e99b0ab7602d970239c216Reminiscences on Influential PapersReminiscences on Influential Papers.
558f35580cf222bc17bc1a3d,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2000,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Christos Faloutsos, Alon Y. Levy, Patrick E. O'Neil, Eric Simon, Divesh Srivastava, Victor Vianu, Gerhard Weikum",SIGMOD Record,2000,,0.6,558f35580cf222bc17bc1a3d53e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
558f35580cf222bc17bc1a3d,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2000,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Charu C. Aggarwal, Alfons Kemper, Sunita Sarawagi, S. Sudarshan 0001, Mihalis Yannakakis",SIGMOD Record,2000,,0.6,558f35580cf222bc17bc1a3d53e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c219,Reminiscences on Influential Papers.,"Kenneth A. Ross, Johannes Gehrke, Jun Rao",SIGMOD Record,2003,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c219Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Flip Korn, Renée J. Miller, Kaladhar Voruganti",SIGMOD Record,2002,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Amr El Abbadi, Theodore Johnson, Richard T. Snodgrass",SIGMOD Record,2002,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Yannis E. Ioannidis, Anant Jhingran, Christos H. Papadimitriou",SIGMOD Record,2000,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c217,Reminiscences on Influential Papers.,Richard T. Snodgrass,SIGMOD Record,1998,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c217Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, James R. Hamilton, Laks V. S. Lakshmanan, Limsoon Wong",SIGMOD Record,2001,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c218,Reminiscences on Influential Papers.,"Kenneth A. Ross, Stefano Ceri, Luis Gravano, Per-Åke Larson, Leonid Libkin, Tova Milo",SIGMOD Record,2001,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c218Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c217,Reminiscences on Influential Papers.,"Richard T. Snodgrass, Laura M. Haas, Alberto O. Mendelzon, Z. Meral Özsoyoglu, Jan Paredaens, Krithi Ramamritham, Nick Roussopoulos, Jennifer Widom, Philip S. Yu",SIGMOD Record,1998,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c217Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Frank Neven, Beng Chin Ooi",SIGMOD Record,2003,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Jiawei Han, Nick Koudas, Rajeev Rastogi, Daniel J. Rosenkrantz, Peter Scheuermann, Dan Suciu",SIGMOD Record,2001,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c216,Reminiscences on Influential Papers.,"Richard T. Snodgrass, Hector Garcia-Molina, Tomasz Imielinski, David Maier, Patricia G. Selinger, Jeffrey D. Ullman",SIGMOD Record,1998,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c216Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Christos Faloutsos, Alon Y. Levy, Patrick E. O'Neil, Eric Simon, Divesh Srivastava, Victor Vianu, Gerhard Weikum",SIGMOD Record,2000,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
539089ab20f70186a0d97053,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001,,53e99b0ab7602d970239c211,Reminiscences on Influential Papers.,"Kenneth A. Ross, Charu C. Aggarwal, Alfons Kemper, Sunita Sarawagi, S. Sudarshan 0001, Mihalis Yannakakis",SIGMOD Record,2000,,0.6,539089ab20f70186a0d9705353e99b0ab7602d970239c211Reminiscences on Influential PapersReminiscences on Influential Papers.
53908a4020f70186a0d9d776,Analysis of existing databases at the logical level: the DBA companion project,"Fabien De Marchi, Stéphane Lopes, Jean-Marc Petit, Farouk Toumani",ACM SIGMOD Record,2003,,53e99de2b7602d97026a6cc2,Analysis of existing databases at the logical level: the DBA companion project.,"Fabien De Marchi, Stéphane Lopes, Jean-Marc Petit, Farouk Toumani",SIGMOD Record,2003,,0.8333333333333334,53908a4020f70186a0d9d77653e99de2b7602d97026a6cc2Analysis of existing databases at the logical level: the DBA companion projectAnalysis of existing databases at the logical level: the DBA companion project.
53908a4020f70186a0d9d771,XPath processing in a nutshell,"Georg Gottlob, Christoph Koch, Reinhard Pichler",ACM SIGMOD Record,2003,,53e9b316b7602d9703ddf961,XPath processing in a nutshell.,"Georg Gottlob, Christoph Koch, Reinhard Pichler",SIGMOD Record,2003,,0.6666666666666666,53908a4020f70186a0d9d77153e9b316b7602d9703ddf961XPath processing in a nutshellXPath processing in a nutshell.
53908a4020f70186a0d9d84c,Energy-performance trade-offs for spatial access methods on memory-resident data,"Ning An, Sudhanva Gurumurthi, Anand Sivasubramaniam, Narayanan Vijaykrishnan, Mahmut Kandemir, Mary Jane Irwin",The VLDB Journal — The International Journal on Very Large Data Bases,2002,,53e99f3bb7602d970280d837,Energy-performance trade-offs for spatial access methods on memory-resident data.,"Ning An, Sudhanva Gurumurthi, Anand Sivasubramaniam, Narayanan Vijaykrishnan, Mahmut T. Kandemir, Mary Jane Irwin",VLDB J.,2002,,0.8,53908a4020f70186a0d9d84c53e99f3bb7602d970280d837Energy-performance trade-offs for spatial access methods on memory-resident dataEnergy-performance trade-offs for spatial access methods on memory-resident data.
53908a4020f70186a0d9d84d,Data page layouts for relational databases on deep memory hierarchies,"Anastassia Ailamaki, David J. DeWitt, Mark D. Hill",The VLDB Journal — The International Journal on Very Large Data Bases,2002,,53e9be6cb7602d9704b2d193,Data page layouts for relational databases on deep memory hierarchies.,"Anastassia Ailamaki, David J. DeWitt, Mark D. Hill",VLDB J.,2002,,0.8181818181818182,53908a4020f70186a0d9d84d53e9be6cb7602d9704b2d193Data page layouts for relational databases on deep memory hierarchiesData page layouts for relational databases on deep memory hierarchies.
53908a4020f70186a0d9d850,Database indexing for large DNA and protein sequence collections,"Ela Hunt, Malcolm P. Atkinson, Robert W. Irving",The VLDB Journal — The International Journal on Very Large Data Bases,2002,,53e9adb0b7602d97037b01fe,Database indexing for large DNA and protein sequence collections.,"Ela Hunt, Malcolm P. Atkinson, Robert W. Irving",VLDB J.,2002,,0.8,53908a4020f70186a0d9d85053e9adb0b7602d97037b01feDatabase indexing for large DNA and protein sequence collectionsDatabase indexing for large DNA and protein sequence collections.
53908a4020f70186a0d9d84e,A formal perspective on the view selection problem,"Rada Chirkova, Alon Y. Halevy, Dan Suciu",The VLDB Journal — The International Journal on Very Large Data Bases,2002,,53e9af33b7602d970396e8cc,A formal perspective on the view selection problem.,"Rada Chirkova, Alon Y. Halevy, Dan Suciu",VLDB J.,2002,,0.7777777777777778,53908a4020f70186a0d9d84e53e9af33b7602d970396e8ccA formal perspective on the view selection problemA formal perspective on the view selection problem.
53908a4020f70186a0d9d84f,Views in a large-scale XML repository,"Vincent Aguilera, Sophie Cluet, Tova Milo, Pierangelo Veltri, Dan Vodislav",The VLDB Journal — The International Journal on Very Large Data Bases,2002,,53e9b884b7602d9704456ace,Views in a large-scale XML repository.,"Vincent Aguilera, Sophie Cluet, Tova Milo, Pierangelo Veltri, Dan Vodislav",VLDB J.,2002,,0.7142857142857143,53908a4020f70186a0d9d84f53e9b884b7602d9704456aceViews in a large-scale XML repositoryViews in a large-scale XML repository.
53908a7420f70186a0da447d,Efficient Testing of High Performance Transaction Processing Systems,"D. Wildfogel, Ramana Yerneni",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9a8cdb7602d970321fa81,Efficient Testing of High Performance Transaction Processing Systems.,"D. Wildfogel, Ramana Yerneni",VLDB,1997,,0.7777777777777778,53908a7420f70186a0da447d53e9a8cdb7602d970321fa81Efficient Testing of High Performance Transaction Processing SystemsEfficient Testing of High Performance Transaction Processing Systems.
53908a7420f70186a0da4480,Mining Insurance Data at Swiss Life,"Jörg-Uwe Kietz, Ulrich Reimer, Martin Staudt",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9a789b7602d97030c41f7,Mining Insurance Data at Swiss Life.,"Jörg-Uwe Kietz, Ulrich Reimer, Martin Staudt",VLDB,1997,,0.7142857142857143,53908a7420f70186a0da448053e9a789b7602d97030c41f7Mining Insurance Data at Swiss LifeMining Insurance Data at Swiss Life.
53908a7420f70186a0da447f,1-Safe Algorithms for Symmetric Site Configurations,"Rune Humborstad, Maitrayi Sabaratnam, Svein-Olaf Hvasshovd, Øystein Torbjørnsen",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9b241b7602d9703ce221d,1-Safe Algorithms for Symmetric Site Configurations.,"Rune Humborstad, Maitrayi Sabaratnam, Svein-Olaf Hvasshovd, Øystein Torbjørnsen",VLDB,1997,,0.7142857142857143,53908a7420f70186a0da447f53e9b241b7602d9703ce221d1-Safe Algorithms for Symmetric Site Configurations1-Safe Algorithms for Symmetric Site Configurations.
53908a7420f70186a0da4479,Merging Ranks from Heterogeneous Internet Sources,"Luis Gravano, Hector Garcia-Molina",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9aca1b7602d970367e732,Merging Ranks from Heterogeneous Internet Sources.,"Luis Gravano, Hector Garcia-Molina",VLDB,1997,,0.7142857142857143,53908a7420f70186a0da447953e9aca1b7602d970367e732Merging Ranks from Heterogeneous Internet SourcesMerging Ranks from Heterogeneous Internet Sources.
53908a7420f70186a0da4485,Dynamic Memory Adjustment for External Mergesort,"Weiye Zhang, Per-Åke Larson",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9b34ab7602d9703e23a05,Dynamic Memory Adjustment for External Mergesort.,"Weiye Zhang, Per-Åke Larson",VLDB,1997,,0.7142857142857143,53908a7420f70186a0da448553e9b34ab7602d9703e23a05Dynamic Memory Adjustment for External MergesortDynamic Memory Adjustment for External Mergesort.
53908a7420f70186a0da4482,Groupwise Processing of Relational Queries,"Damianos Chatziantoniou, Kenneth A. Ross",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9a9c4b7602d9703323382,Groupwise Processing of Relational Queries.,"Damianos Chatziantoniou, Kenneth A. Ross",VLDB,1997,,0.6666666666666666,53908a7420f70186a0da448253e9a9c4b7602d9703323382Groupwise Processing of Relational QueriesGroupwise Processing of Relational Queries.
53908a7420f70186a0da447b,Spatial Joins Using R-trees: Breadth-First Traversal with Global Optimizations,"Yun-Wu Huang, Ning Jing, Elke A. Rundensteiner",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9ae90b7602d97038aefb8,Spatial Joins Using R-trees: Breadth-First Traversal with Global Optimizations.,"Yun-Wu Huang, Ning Jing, Elke A. Rundensteiner",VLDB,1997,,0.8,53908a7420f70186a0da447b53e9ae90b7602d97038aefb8Spatial Joins Using R-trees: Breadth-First Traversal with Global OptimizationsSpatial Joins Using R-trees: Breadth-First Traversal with Global Optimizations.
53908a7420f70186a0da4488,Caprera: An Activity Framework for Transaction Processing on Wide-Area Networks,"Suresh Kumar, Eng-Kee Kwang, Divyakant Agrawal",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9a80cb7602d970314e379,Caprera: An Activity Framework for Transaction Processing on Wide-Area Networks.,"Suresh Kumar, Eng-Kee Kwang, Divyakant Agrawal",VLDB,1997,,0.8181818181818182,53908a7420f70186a0da448853e9a80cb7602d970314e379Caprera: An Activity Framework for Transaction Processing on Wide-Area NetworksCaprera: An Activity Framework for Transaction Processing on Wide-Area Networks.
53908a7420f70186a0da4483,Parallel Query Scheduling and Optimization with Time- and Space-Shared Resources,"Minos N. Garofalakis, Yannis E. Ioannidis",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9b260b7602d9703d032af,Parallel Query Scheduling and Optimization with Time- and Space-Shared Resources.,"Minos N. Garofalakis, Yannis E. Ioannidis",VLDB,1997,,0.8,53908a7420f70186a0da448353e9b260b7602d9703d032afParallel Query Scheduling and Optimization with Time- and Space-Shared ResourcesParallel Query Scheduling and Optimization with Time- and Space-Shared Resources.
53908a7420f70186a0da448a,The Oracle Universal Server Buffer,"William Bridge, Ashok Joshi, M. Keihl, Tirthankar Lahiri, Juan Loaiza, N. MacNaughton",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9b57cb7602d97040be738,The Oracle Universal Server Buffer.,"William Bridge, Ashok Joshi, M. Keihl, Tirthankar Lahiri, Juan Loaiza, N. MacNaughton",VLDB,1997,,0.6666666666666666,53908a7420f70186a0da448a53e9b57cb7602d97040be738The Oracle Universal Server BufferThe Oracle Universal Server Buffer.
53908a7420f70186a0da4489,The Case for Enhanced Abstract Data Types,"Praveen Seshadri, Miron Livny, Raghu Ramakrishnan",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e99b63b7602d97024058ae,The Case for Enhanced Abstract Data Types.,"Praveen Seshadri, Miron Livny, Raghu Ramakrishnan",VLDB,1997,,0.75,53908a7420f70186a0da448953e99b63b7602d97024058aeThe Case for Enhanced Abstract Data TypesThe Case for Enhanced Abstract Data Types.
53908a7420f70186a0da448e,A Region Splitting Strategy for Physical Database Design of Multidimensional File Organizations,"Jong-Hak Lee, Young-Koo Lee, Kyu-Young Whang, Il-Yeol Song",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9a9e6b7602d9703349393,A Region Splitting Strategy for Physical Database Design of Multidimensional File Organizations.,"Jong-Hak Lee, Young-Koo Lee, Kyu-Young Whang, Il-Yeol Song",VLDB,1997,,0.8461538461538461,53908a7420f70186a0da448e53e9a9e6b7602d9703349393A Region Splitting Strategy for Physical Database Design of Multidimensional File OrganizationsA Region Splitting Strategy for Physical Database Design of Multidimensional File Organizations.
53908a7420f70186a0da4491,Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications,"John C. Shafer, Rakesh Agrawal",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9a1b6b7602d9702aad52d,Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications.,"John C. Shafer, Rakesh Agrawal",VLDB,1997,,0.8,53908a7420f70186a0da449153e9a1b6b7602d9702aad52dParallel Algorithms for High-dimensional Similarity Joins for Data Mining ApplicationsParallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications.
53908a7420f70186a0da4493,Distributed Processing over Stand-alone Systems and Applications,"Gustavo Alonso, Claus Hagen, Hans-Jörg Schek, Markus Tresch",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9bbcfb7602d970481d40a,Distributed Processing over Stand-alone Systems and Applications.,"Gustavo Alonso, Claus Hagen, Hans-Jörg Schek, Markus Tresch",VLDB,1997,,0.75,53908a7420f70186a0da449353e9bbcfb7602d970481d40aDistributed Processing over Stand-alone Systems and ApplicationsDistributed Processing over Stand-alone Systems and Applications.
53908a7420f70186a0da4486,Principles of Optimally Placing Data in Tertiary Storage Libraries,"Stavros Christodoulakis, Peter Triantafillou, Fenia Zioga",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9ab26b7602d97034b3403,Principles of Optimally Placing Data in Tertiary Storage Libraries.,"Stavros Christodoulakis, Peter Triantafillou, Fenia Zioga",VLDB,1997,,0.8,53908a7420f70186a0da448653e9ab26b7602d97034b3403Principles of Optimally Placing Data in Tertiary Storage LibrariesPrinciples of Optimally Placing Data in Tertiary Storage Libraries.
53908a7420f70186a0da4476,Using Versions in Update Transactions: Application to Integrity Checking,"François Llirbat, Eric Simon, Dimitri Tombroff",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9bb8cb7602d97047d0475,Using Versions in Update Transactions: Application to Integrity Checking.,"François Llirbat, Eric Simon, Dimitri Tombroff",VLDB,1997,,0.8,53908a7420f70186a0da447653e9bb8cb7602d97047d0475Using Versions in Update Transactions: Application to Integrity CheckingUsing Versions in Update Transactions: Application to Integrity Checking.
53908a7420f70186a0da447a,Optimizing Queries Across Diverse Data Sources,"Laura M. Haas, Donald Kossmann, Edward L. Wimmers, Jun Yang",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9b137b7602d9703bbbbdd,Optimizing Queries Across Diverse Data Sources.,"Laura M. Haas, Donald Kossmann, Edward L. Wimmers, Jun Yang 0001",VLDB,1997,,0.7142857142857143,53908a7420f70186a0da447a53e9b137b7602d9703bbbbddOptimizing Queries Across Diverse Data SourcesOptimizing Queries Across Diverse Data Sources.
53908a7420f70186a0da4490,Logical and Physical Versioning in Main Memory Databases,"Rajeev Rastogi, S. Seshadri, Philip Bohannon, Dennis W. Leinbaugh, Abraham Silberschatz, S. Sudarshan",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9b65bb7602d97041bca35,Logical and Physical Versioning in Main Memory Databases.,"Rajeev Rastogi, S. Seshadri, Philip Bohannon, Dennis W. Leinbaugh, Abraham Silberschatz, S. Sudarshan 0001",VLDB,1997,,0.7777777777777778,53908a7420f70186a0da449053e9b65bb7602d97041bca35Logical and Physical Versioning in Main Memory DatabasesLogical and Physical Versioning in Main Memory Databases.
53908a7420f70186a0da4494,Towards an ODMG-Compliant Visual Object Query Language,"Manoj Chavda, Peter T. Wood",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9bae6b7602d9704715b98,Towards an ODMG-Compliant Visual Object Query Language.,"Manoj Chavda, Peter T. Wood",VLDB,1997,,0.75,53908a7420f70186a0da449453e9bae6b7602d9704715b98Towards an ODMG-Compliant Visual Object Query LanguageTowards an ODMG-Compliant Visual Object Query Language.
53908a7420f70186a0da4497,An Asynchronous Avoidance-Based Cache Consistency Algorithm for Client Caching DBMSs,"M. Tamer Özsu, Kaladhar Voruganti, Ronald C. Unrau",VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases,1998,,53e9a51db7602d9702e3f3d1,An Asynchronous Avoidance-Based Cache Consistency Algorithm for Client Caching DBMSs.,"M. Tamer Özsu, Kaladhar Voruganti, Ronald C. Unrau",VLDB,1998,,0.8181818181818182,53908a7420f70186a0da449753e9a51db7602d9702e3f3d1An Asynchronous Avoidance-Based Cache Consistency Algorithm for Client Caching DBMSsAn Asynchronous Avoidance-Based Cache Consistency Algorithm for Client Caching DBMSs.
53908a7420f70186a0da449f,DMS: A Parallel Data Mining Server,Felicity George,VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases,1998,,53e9af68b7602d97039adb00,DMS: A Parallel Data Mining Server.,Felicity A. W. George,VLDB,1998,,0.7142857142857143,53908a7420f70186a0da449f53e9af68b7602d97039adb00DMS: A Parallel Data Mining ServerDMS: A Parallel Data Mining Server.
53908a7420f70186a0da4499,"Design, Implementation, and Performance of the LHAM Log-Structured History Data Access Method","Peter Muth, Patrick E. O'Neil, Achim Pick, Gerhard Weikum",VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases,1998,,53e9acaeb7602d970368c6ab,"Design, Implementation, and Performance of the LHAM Log-Structured History Data Access Method.","Peter Muth, Patrick E. O'Neil, Achim Pick, Gerhard Weikum",VLDB,1998,,0.8461538461538461,"53908a7420f70186a0da449953e9acaeb7602d970368c6abDesign, Implementation, and Performance of the LHAM Log-Structured History Data Access MethodDesign, Implementation, and Performance of the LHAM Log-Structured History Data Access Method."
53908a7420f70186a0da448f,A Generic Approach to Bulk Loading Multidimensional Index Structures,"Jochen Van den Bercken, Bernhard Seeger, Peter Widmayer",VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases,1997,,53e9a1bcb7602d9702ab0ad7,A Generic Approach to Bulk Loading Multidimensional Index Structures.,"Jochen Van den Bercken, Bernhard Seeger, Peter Widmayer",VLDB,1997,,0.8,53908a7420f70186a0da448f53e9a1bcb7602d9702ab0ad7A Generic Approach to Bulk Loading Multidimensional Index StructuresA Generic Approach to Bulk Loading Multidimensional Index Structures.
53908a7420f70186a0da449b,Heterogeneous Database Query Optimization in DB2 Universal DataJoiner,"Shivakumar Venkataraman, Tian Zhang",VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases,1998,,53e9ba4eb7602d9704662886,Heterogeneous Database Query Optimization in DB2 Universal DataJoiner.,"Shivakumar Venkataraman, Tian Zhang",VLDB,1998,,0.7777777777777778,53908a7420f70186a0da449b53e9ba4eb7602d9704662886Heterogeneous Database Query Optimization in DB2 Universal DataJoinerHeterogeneous Database Query Optimization in DB2 Universal DataJoiner.
53908a7420f70186a0da449c,Fast High-Dimensional Data Search in Incomplete Databases,"Beng Chin Ooi, Cheng Hian Goh, Kian-Lee Tan",VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases,1998,,53e9a93fb7602d9703294bfc,Fast High-Dimensional Data Search in Incomplete Databases.,"Beng Chin Ooi, Cheng Hian Goh, Kian-Lee Tan",VLDB,1998,,0.75,53908a7420f70186a0da449c53e9a93fb7602d9703294bfcFast High-Dimensional Data Search in Incomplete DatabasesFast High-Dimensional Data Search in Incomplete Databases.
53908a7420f70186a0da449d,Bank of America Case Study: The Information Currency Advantage,"Felipe Cariño, Mark Jahnke",VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases,1998,,53e9b586b7602d97040c7372,Bank of America Case Study: The Information Currency Advantage.,"Felipe Cariño, Mark Jahnke",VLDB,1998,,0.8,53908a7420f70186a0da449d53e9b586b7602d97040c7372Bank of America Case Study: The Information Currency AdvantageBank of America Case Study: The Information Currency Advantage.
