,paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,index_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,index_df2,similarity_score,ID,_merge
416,5390881220f70186a0d7e33a,review a realtime virtual walkthrough system,"l shou, c h chionh, z huang, y ruan, kianlee tan",sigmod 01 proceedings of the 2001 acm sigmod international conference on management of data,2001,1675,53e9a618b7602d9702f4aac1,review a real time virtual walkthrough system,"lidan shou, jason chionh, kianlee tan, yixin ruan, zhiyong huang",sigmod conference,2001,4778,0.6116935483870968,5390881220f70186a0d7e33a53e9a618b7602d9702f4aac1,left_only
425,5390881220f70186a0d7e35b,xml data management panel session go native or spruce up relational systems,"peråke larson, dana florescu, goetz graefe, guido moerkotte, hamid pirahesh, harald schöning",sigmod 01 proceedings of the 2001 acm sigmod international conference on management of data,2001,1690,53e9a9ebb7602d9703351b74,xml data management go native or spruce up relational systems panel abstract,peråke larson,sigmod conference,2001,4814,0.6429101019462465,5390881220f70186a0d7e35b53e9a9ebb7602d9703351b74,left_only
426,5390881220f70186a0d7e35f,will database researchers have any role in data security panel session,"arnon rosenthal, klaus dittrich, jim donahue, bill maimone",sigmod 01 proceedings of the 2001 acm sigmod international conference on management of data,2001,1692,53e9b42fb7602d9703f25796,will database researchers have any role in data security panel abstract,arnon rosenthal,sigmod conference,2001,4115,0.6706060606060606,5390881220f70186a0d7e35f53e9b42fb7602d9703f25796,left_only
427,5390881220f70186a0d7e361,application servers panel session bornagain tp monitors for the web,"c mohan, larry cable, matthieu devin, scott dietzen, pat helland, dan wolfson",sigmod 01 proceedings of the 2001 acm sigmod international conference on management of data,2001,1689,53e99bd5b7602d97024803e0,application servers bornagain tp monitors for the web panel abstract,c mohan,sigmod conference,2001,4617,0.6080213903743316,5390881220f70186a0d7e36153e99bd5b7602d97024803e0,left_only
450,5390881720f70186a0d7ff31,reminiscences in influential papers,richard snodgrass,acm sigmod record,1998,1727,53e99b0ab7602d970239c217,reminiscences on influential papers,richard t snodgrass,sigmod record,1998,3025,0.69,5390881720f70186a0d7ff3153e99b0ab7602d970239c217,left_only
451,5390881820f70186a0d8110a,data management issues in electronic commerce guest editors introduction,asuman dogac,acm sigmod record,2002,1728,53e99aacb7602d9702325e7b,guest editors introduction,asuman dogac,sigmod record,1998,3016,0.5333333333333333,5390881820f70186a0d8110a53e99aacb7602d9702325e7b,left_only
452,5390881820f70186a0d8110a,data management issues in electronic commerce guest editors introduction,asuman dogac,acm sigmod record,2002,1728,53e99aacb7602d9702325e7d,guest editors introduction,asuman dogac,sigmod record,2002,3165,0.5333333333333333,5390881820f70186a0d8110a53e99aacb7602d9702325e7d,left_only
464,5390881820f70186a0d81116,databases and transaction processing an applicationoriented approach,"philip m lewis, arthur bernstein, michael kifer",acm sigmod record,2002,1736,53e9b867b7602d97044345c3,databases and transaction processing an applicationoriented approach  book review,alfons kemper,sigmod record,2002,2969,0.560515873015873,5390881820f70186a0d8111653e9b867b7602d97044345c3,left_only
468,5390881820f70186a0d8111d,advances in databases and information systems report of 5th east european conference adbis2001,"albertas caplinskas, johann eder, olegas vasilecas",acm sigmod record,2002,1748,53e9ab5ab7602d97034f043a,advances in databases and information systems adbis,"albertas caplinskas, johann eder, olegas vasilecas",sigmod record,2002,3252,0.6,5390881820f70186a0d8111d53e9ab5ab7602d97034f043a,left_only
470,5390882420f70186a0d89091,models and issues in data stream systems,"brian babcock, shivnath babu, mayur datar, rajeev motwani, jennifer widom",proceedings of the twentyfirst acm sigmodsigactsigart symposium on principles of database systems,2002,1777,53e9b02fb7602d9703a8a898,operator scheduling in data stream systems,"brian babcock, shivnath babu, mayur datar, rajeev motwani, dilys thomas",vldb j,2004,4172,0.5059163059163059,5390882420f70186a0d8909153e9b02fb7602d9703a8a898,left_only
471,5390882420f70186a0d890a5,characterizing memory requirements for queries over continuous data streams,"arvind arasu, brian babcock, shivnath babu, jon mcalister, jennifer widom",proceedings of the twentyfirst acm sigmodsigactsigart symposium on principles of database systems,2002,1772,53e9ac7bb7602d97036524b7,continuous queries over data streams,"shivnath babu, jennifer widom",sigmod record,2001,3538,0.5292114695340502,5390882420f70186a0d890a553e9ac7bb7602d97036524b7,left_only
549,5390882d20f70186a0d8db9a,cluster validity methods part i,"maria halkidi, yannis batistakis, michalis vazirgiannis",acm sigmod record,2002,1858,53e99a8cb7602d97022fffcc,clustering validity checking methods part ii,"maria halkidi, yannis batistakis, michalis vazirgiannis",sigmod record,2002,2954,0.5625,5390882d20f70186a0d8db9a53e99a8cb7602d97022fffcc,left_only
552,5390882d20f70186a0d8db9f,data warehousing and business intelligence for ecommerce by alan r simon  steven l shaffer,frank g goethals,acm sigmod record,2002,1851,53e9b076b7602d9703adb294,data warehousing and business intelligence for ecommerce  book review,frank g goethals,sigmod record,2002,4398,0.60625,5390882d20f70186a0d8db9f53e9b076b7602d9703adb294,left_only
562,539089ab20f70186a0d96af4,clustering validity checking methods part ii,"maria halkidi, yannis batistakis, michalis vazirgiannis",acm sigmod record,2002,1890,53e9ac8fb7602d97036690e5,cluster validity methods part i,"maria halkidi, yannis batistakis, michalis vazirgiannis",sigmod record,2002,3000,0.5625,539089ab20f70186a0d96af453e9ac8fb7602d97036690e5,left_only
572,539089ab20f70186a0d96f55,advanced xml data processing guest editors introduction,karl aberer,acm sigmod record,2001,1898,53e99aacb7602d9702325e77,guest editors introduction,karl aberer,sigmod record,2003,3312,0.6,539089ab20f70186a0d96f5553e99aacb7602d9702325e77,left_only
586,539089ab20f70186a0d97053,reminiscences on influential papers,kenneth a ross,acm sigmod record,2001,1929,53e99b04b7602d97023955a6,reminiscences an influential papers,"kenneth a ross, minos n garofalakis, jeffrey f naughton",sigmod record,2003,2933,0.5049056603773585,539089ab20f70186a0d9705353e99b04b7602d97023955a6,left_only
633,539089d320f70186a0d9c21e,small worlds the dynamics of networks between order and randomness,"jie wu, duncan j watts",acm sigmod record,2002,1971,53e9a217b7602d9702b1d9d0,small worlds the dynamics of networks between order and randomness  book review,jie wu 0012,sigmod record,2002,3273,0.6673333333333333,539089d320f70186a0d9c21e53e9a217b7602d9702b1d9d0,left_only
637,539089d320f70186a0d9c222,an early look at xquery,"andrew eisenberg, jim melton",acm sigmod record,2002,1961,53e9a335b7602d9702c3bf4a,an early look at xquery api for java xqj,"andrew eisenberg, jim melton",sigmod record,2004,3601,0.6888888888888889,539089d320f70186a0d9c22253e9a335b7602d9702c3bf4a,left_only
647,53908a4020f70186a0d9d777,jim gray speaks out,marianne winslett,acm sigmod record,2003,1974,53e99a04b7602d9702250b2d,david dewitt speaks out,marianne winslett,sigmod record,2002,3169,0.5333333333333333,53908a4020f70186a0d9d77753e99a04b7602d9702250b2d,left_only
648,53908a4020f70186a0d9d777,jim gray speaks out,marianne winslett,acm sigmod record,2003,1974,53e9aa1db7602d970338abf3,hector garciamolina speaks out,marianne winslett,sigmod record,2002,3542,0.5333333333333333,53908a4020f70186a0d9d77753e9aa1db7602d970338abf3,left_only
650,53908a4020f70186a0d9d779,"report on the first international conference on ontologies, databases and applications of semantics odbase part of the federated conference on the move to meaningful internet systems 2002",karl aberer,acm sigmod record,2003,1982,53e9a051b7602d97029361aa,"report on the first international conference on ontologies, databases and applications of semantics",karl aberer,sigmod record,2003,3284,0.7,53908a4020f70186a0d9d77953e9a051b7602d97029361aa,left_only
655,53908a4020f70186a0d9d84f,views in a largescale xml repository,"vincent aguilera, sophie cluet, tova milo, pierangelo veltri, dan vodislav",the vldb journal  the international journal on very large data bases,2002,1990,53e9b884b7602d9704456ace,views in a large scale xml repository,"sophie cluet, pierangelo veltri, dan vodislav",vldb,2001,3368,0.6300373134328359,53908a4020f70186a0d9d84f53e9b884b7602d9704456ace,left_only
659,53908a7420f70186a0da4477,"dont scrap it, wrap it a wrapper architecture for legacy data sources","mary tork roth, peter m schwarz",vldb 97 proceedings of the 23rd international conference on very large data bases,1997,2074,53e9b0c7b7602d9703b3faca,"review  dont scrap it, wrap it a wrapper architecture for legacy data sources",betty salzberg,acm sigmod digital review,1999,4513,0.652972027972028,53908a7420f70186a0da447753e9b0c7b7602d9703b3faca,left_only
671,53908a7420f70186a0da4485,dynamic memory adjustment for external mergesort,"weiye zhang, peråke larson",vldb 97 proceedings of the 23rd international conference on very large data bases,1997,2004,53e9bd4bb7602d97049db3ef,buffering and readahead strategies for external mergesort,"weiye zhang, peråke larson",vldb,1998,3884,0.51,53908a7420f70186a0da448553e9bd4bb7602d97049db3ef,left_only
695,53908a7420f70186a0da451f,hash joins and hash teams in microsoft sql server,"goetz graefe, ross bunker, shaun cooper",vldb 98 proceedings of the 24rd international conference on very large data bases,1998,2047,53e9ae5cb7602d9703876d3b,review  hash joins and hash teams in microsoft sql server,alfons kemper,acm sigmod digital review,1999,4554,0.6347222222222221,53908a7420f70186a0da451f53e9ae5cb7602d9703876d3b,left_only
727,53908a7420f70186a0da4544,diagjoin an opportunistic join algorithm for 1n relationships,"sven helmer, till westmann, guido moerkotte",vldb 98 proceedings of the 24rd international conference on very large data bases,1998,2064,53e9b9f4b7602d97045ed430,review  diagjoin an opportunistic join algorithm for 1n relationships,alfons kemper,acm sigmod digital review,1999,4470,0.6276767676767676,53908a7420f70186a0da454453e9b9f4b7602d97045ed430,left_only
732,53908a7420f70186a0da4549,clustering categorical data an approach based on dynamical systems,"david gibson, jon m kleinberg, prabhakar raghavan",vldb 98 proceedings of the 24rd international conference on very large data bases,1998,2069,53e9b9e1b7602d97045dbaa6,review  clustering categorical data an approach based on dynamical systems,raymond t ng,acm sigmod digital review,1999,4473,0.6403448275862069,53908a7420f70186a0da454953e9b9e1b7602d97045dbaa6,left_only
741,53908a7420f70186a0da45cb,buffering and readahead strategies for external mergesort,"weiye zhang, peråke larson",vldb 98 proceedings of the 24rd international conference on very large data bases,1998,2080,53e9b34ab7602d9703e23a05,dynamic memory adjustment for external mergesort,"weiye zhang, peråke larson",vldb,1997,3683,0.51,53908a7420f70186a0da45cb53e9b34ab7602d9703e23a05,left_only
748,53908a7420f70186a0da45d2,rtree based indexing of nowrelative bitemporal data,"rasa bliujute, christian s jensen, simonas saltenis, giedrius slivinskas",vldb 98 proceedings of the 24rd international conference on very large data bases,1998,2092,53e9a84eb7602d9703197254,indexing of nowrelative spatiobitemporal data,"simonas saltenis, christian s jensen",vldb j,2002,4185,0.5045454545454545,53908a7420f70186a0da45d253e9a84eb7602d9703197254,left_only
751,53908a7420f70186a0da45d4,evaluating functional joins along nested reference sets in objectrelational and objectoriented databases,"reinhard braumandl, jens claußen, alfons kemper",vldb 98 proceedings of the 24rd international conference on very large data bases,1998,2083,53e9b3b7b7602d9703e9cc21,review  evaluating functional joins along nested reference sets in objectrelational and objectoriented databases,sophie cluet,acm sigmod digital review,1999,4520,0.6568681318681319,53908a7420f70186a0da45d453e9b3b7b7602d9703e9cc21,left_only
754,53908a7420f70186a0da45d6,atomicity versus anonymity distributed transactions for electronic commerce,j d tygar,vldb 98 proceedings of the 24rd international conference on very large data bases,1998,2085,53e9bce0b7602d9704963d2e,review  atomicity versus anonymity distributed transactions for electronic commerce,gerhard weikum,acm sigmod digital review,1999,4556,0.6222222222222221,53908a7420f70186a0da45d653e9bce0b7602d9704963d2e,left_only
759,53908a7420f70186a0da45da,aqua a fast decision support systems using approximate query answers,"swarup acharya, phillip b gibbons, viswanath poosala",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2159,53e9bac1b7602d97046eec1e,review  aqua a fast decision support systems using approximate query answers,h v jagadish,acm sigmod digital review,1999,4583,0.6412816691505216,53908a7420f70186a0da45da53e9bac1b7602d97046eec1e,left_only
762,53908a7420f70186a0da45dc,query optimization for xml,"jason mchugh, jennifer widom",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2109,53e9ad5db7602d9703742b50,review  query optimization for xml,yuqing melanie wu,acm sigmod digital review,2000,4506,0.5739534883720929,53908a7420f70186a0da45dc53e9ad5db7602d9703742b50,left_only
771,53908a7420f70186a0da45e4,implementation of two semantic query optimization techniques in db2 universal database,"qi cheng, jarek gryz, fred koo, t y cliff leung, linqi liu, xiaoyan qian, k bernhard schiefer",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2157,53e9b8d4b7602d97044b42ef,review  implementation of two semantic query optimization techniques in db2 universal database,richard t snodgrass,acm sigmod digital review,2000,4524,0.661231884057971,53908a7420f70186a0da45e453e9b8d4b7602d97044b42ef,left_only
773,53908a7420f70186a0da45e5,highperformance extensible indexing,marcel kornacker,vldb 99 proceedings of the 25th international conference on very large data bases,1999,2096,53e9adbdb7602d97037c2eba,review  highperformance extensible indexing,michael j carey,acm sigmod digital review,2000,4519,0.5443548387096774,53908a7420f70186a0da45e553e9adbdb7602d97037c2eba,left_only
790,53908a7420f70186a0da4671,contextbased prefetch for implementing objects on relations,"philip a bernstein, shankar pal, david shutt",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2131,53e99e5bb7602d970271f2a1,review  contextbased prefetch for implementing objects on relations,michael j carey,acm sigmod digital review,2000,4582,0.6124999999999999,53908a7420f70186a0da467153e99e5bb7602d970271f2a1,left_only
793,53908a7420f70186a0da4672,relational databases for querying xml documents limitations and opportunities,"jayavel shanmugasundaram, kristin tufte, chun zhang, gang he, david j dewitt, jeffrey f naughton",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2152,53e9ab9eb7602d9703549f35,review  relational databases for querying xml documents limitations and opportunities,h v jagadish,acm sigmod digital review,1999,4551,0.639375,53908a7420f70186a0da467253e9ab9eb7602d9703549f35,left_only
794,53908a7420f70186a0da4672,relational databases for querying xml documents limitations and opportunities,"jayavel shanmugasundaram, kristin tufte, chun zhang, gang he, david j dewitt, jeffrey f naughton",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2152,53e9ab9eb7602d9703549f36,review  relational databases for querying xml documents limitations and opportunities,micah tessler,acm sigmod digital review,2000,4570,0.633030303030303,53908a7420f70186a0da467253e9ab9eb7602d9703549f36,left_only
796,53908a7420f70186a0da4673,explaining differences in multidimensional aggregates,sunita sarawagi,vldb 99 proceedings of the 25th international conference on very large data bases,1999,2169,53e9a65fb7602d9702f90cf6,review  explaining differences in multidimensional aggregates,h v jagadish,acm sigmod digital review,1999,4462,0.5833333333333334,53908a7420f70186a0da467353e9a65fb7602d9702f90cf6,left_only
800,53908a7420f70186a0da4676,"pm3 an orthogonal persistent systems programming language  design, implementation, performance","antony l hosking, jiawan chen",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2136,53e99a3cb7602d970229dc30,"review  pm3 an orthogonal persistent systems programming language  design, implementation, performance",richard t snodgrass,acm sigmod digital review,1999,4578,0.6363636363636364,53908a7420f70186a0da467653e99a3cb7602d970229dc30,left_only
814,53908a7420f70186a0da4684,a novel index supporting high volume data warehouse insertion,"chris jermaine, anindya datta, edward omiecinski",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2138,53e9b88bb7602d970445f263,review  a novel index supporting high volume data warehouse insertion,h v jagadish,acm sigmod digital review,1999,4511,0.6350847457627119,53908a7420f70186a0da468453e9b88bb7602d970445f263,left_only
828,53908a9620f70186a0da471e,online dynamic reordering for interactive data processing,"vijayshankar raman, bhaskaran raman, joseph m hellerstein",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2196,53e99838b7602d9702060008,online dynamic reordering,"vijayshankar raman, bhaskaran raman, joseph m hellerstein",vldb j,2000,4916,0.6,53908a9620f70186a0da471e53e99838b7602d9702060008,left_only
831,53908a9620f70186a0da4720,datawarehousing has more colours than just black  white,"thomas zurek, markus sinnwell",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2170,53e9ba0bb7602d970460b352,review  datawarehousing has more colours than just black  white,h v jagadish,acm sigmod digital review,1999,4487,0.6222222222222221,53908a9620f70186a0da472053e9ba0bb7602d970460b352,left_only
833,53908a9620f70186a0da4722,semantic compression and pattern extraction with fascicles,"h v jagadish, j madar, raymond t ng",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2179,53e9ad3bb7602d970371c2c0,review  semantic compression and pattern extraction with fascicles,richard t snodgrass,acm sigmod digital review,2000,4584,0.6305,53908a9620f70186a0da472253e9ad3bb7602d970371c2c0,left_only
840,53908a9620f70186a0da4728,integrating heterogenous overlapping databases through objectoriented transformations,"vanja josifovski, tore risch",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2180,53e9a863b7602d97031b1a27,review  integrating heterogenous overlapping databases through objectoriented transformations,jason atkins,acm sigmod digital review,2000,4477,0.6199999999999999,53908a9620f70186a0da472853e9a863b7602d97031b1a27,left_only
847,53908a9620f70186a0da472f,"panel future directions of database research  the vldb broadening strategy, part 2",michael l brodie,vldb 00 proceedings of the 26th international conference on very large data bases,2000,2176,53e9ba54b7602d970466d242,"panel future directions of database research  the vldb broadening strategy, part 1",hansjörg schek,vldb,2000,3866,0.5923076923076923,53908a9620f70186a0da472f53e9ba54b7602d970466d242,left_only
874,53908a9620f70186a0da47d0,multidimensional database allocation for parallel data warehouses,"thomas stöhr, holger märtens, erhard rahm",vldb 00 proceedings of the 26th international conference on very large data bases,2000,2225,53e9a54eb7602d9702e74813,warlock a data allocation tool for parallel warehouses,"thomas stöhr, erhard rahm",vldb,2001,4262,0.5375,53908a9620f70186a0da47d053e9a54eb7602d9702e74813,left_only
892,53908a9620f70186a0da47e2,"panel future directions of database research  the vldb broadening strategy, part 1",hansjörg schek,vldb 00 proceedings of the 26th international conference on very large data bases,2000,2265,53e9ba54b7602d970466d248,"panel future directions of database research  the vldb broadening strategy, part 2",michael l brodie,vldb,2000,3962,0.5923076923076923,53908a9620f70186a0da47e253e9ba54b7602d970466d248,left_only
895,53908a9620f70186a0da47e4,the 3w model and algebra for unified data mining,"theodore johnson, laks v s lakshmanan, raymond t ng",vldb 00 proceedings of the 26th international conference on very large data bases,2000,2238,53e9afbab7602d9703a0caf2,towards a toolkit for data analysis and mining,"theodore johnson, raymond t ng, laks v s lakshmanan",1999 acm sigmod workshop on research issues in data mining and knowledge discovery,1999,4651,0.5153846153846153,53908a9620f70186a0da47e453e9afbab7602d9703a0caf2,left_only
924,53908a9620f70186a0da487e,demonstration enabling scalable online personalization on the web,"kaushik dutta, anindya datta, debra e vandermeer, krithi ramamritham, helen m thomas",vldb 00 proceedings of the 26th international conference on very large data bases,2000,2251,53e99f5cb7602d970282fbfe,an architecture to support scalable online personalization on the web,"anindya datta, kaushik dutta, debra e vandermeer, krithi ramamritham, shamkant b navathe",vldb j,2001,4930,0.542391304347826,53908a9620f70186a0da487e53e99f5cb7602d970282fbfe,left_only
954,53908a9620f70186a0da4cf3,query processing in tertiary memory databases,sunita sarawagi,vldb 95 proceedings of the 21th international conference on very large data bases,1995,2292,53e9a1b5b7602d9702aaa83b,reordering query execution in tertiary memory databases,"sunita sarawagi, michael stonebraker",vldb,1996,4451,0.5698529411764706,53908a9620f70186a0da4cf353e9a1b5b7602d9702aaa83b,left_only
960,53908a9620f70186a0da4cf7,dynamic multiresource load balancing in parallel database systems,"erhard rahm, robert marek",vldb 95 proceedings of the 21th international conference on very large data bases,1995,2306,53e9af47b7602d9703988998,dynamic load balancing in hierarchical parallel database systems,"luc bouganim, daniela florescu, patrick valduriez",vldb,1996,3416,0.5444444444444444,53908a9620f70186a0da4cf753e9af47b7602d9703988998,left_only
972,53908a9620f70186a0da4d7f,managing intraoperator parallelism in parallel database systems,"manish mehta, david j dewitt",vldb 95 proceedings of the 21th international conference on very large data bases,1995,2321,53e9a8f8b7602d97032459aa,data placement in sharednothing parallel database systems,"manish mehta 0002, david j dewitt",vldb j,1997,4170,0.5316129032258063,53908a9620f70186a0da4d7f53e9a8f8b7602d97032459aa,left_only
989,53908a9620f70186a0da4d90,"the hbptree a modified hbtree supporting concurrency, recovery and node consolidation","georgios evangelidis, david b lomet, betty salzberg",vldb 95 proceedings of the 21th international conference on very large data bases,1995,2330,53e99bf7b7602d97024a3d10,"the hbpitree a multiattribute index supporting concurrency, recovery and node consolidation","georgios evangelidis, david b lomet, betty salzberg",vldb j,1997,4925,0.7,53908a9620f70186a0da4d9053e99bf7b7602d97024a3d10,left_only
1004,53908a9620f70186a0da4d9e,dynamic load balancing in hierarchical parallel database systems,"luc bouganim, daniela florescu, patrick valduriez",vldb 96 proceedings of the 22th international conference on very large data bases,1996,2337,53e9aa2cb7602d970339cf69,dynamic multiresource load balancing in parallel database systems,"erhard rahm, robert marek",vldb,1995,4415,0.5444444444444444,53908a9620f70186a0da4d9e53e9aa2cb7602d970339cf69,left_only
1014,53908a9620f70186a0da4e25,of objects and databases a decade of turmoil,"michael j carey, david j dewitt",vldb 96 proceedings of the 22th international conference on very large data bases,1996,2438,53e9bc05b7602d9704862ba4,review  of objects and databases a decade of turmoil,sophie cluet,acm sigmod digital review,1999,4496,0.6199999999999999,53908a9620f70186a0da4e2553e9bc05b7602d9704862ba4,left_only
1023,53908a9620f70186a0da4e30,eroc a toolkit for building neato query optimizers,"william j mckenna, louis burger, chi hoang, melissa truong",vldb 96 proceedings of the 22th international conference on very large data bases,1996,2437,53e9a67bb7602d9702fac2a0,review  eroc a toolkit for building neato query optimizers,divesh srivastava,acm sigmod digital review,2000,4575,0.6222222222222221,53908a9620f70186a0da4e3053e9a67bb7602d9702fac2a0,left_only
1050,53908a9620f70186a0da4ec8,querying multiple features of groups in relational databases,"damianos chatziantoniou, kenneth a ross",vldb 96 proceedings of the 22th international conference on very large data bases,1996,2383,53e9b3c7b7602d9703eb1c5b,review  querying multiple features of groups in relational databases,divesh srivastava,acm sigmod digital review,2000,4535,0.6276767676767676,53908a9620f70186a0da4ec853e9b3c7b7602d9703eb1c5b,left_only
1054,53908a9620f70186a0da4ecc,reordering query execution in tertiary memory databases,"sunita sarawagi, michael stonebraker",vldb 96 proceedings of the 22th international conference on very large data bases,1996,2385,53e9b4b4b7602d9703fcca63,query processing in tertiary memory databases,sunita sarawagi,vldb,1995,4310,0.5698529411764706,53908a9620f70186a0da4ecc53e9b4b4b7602d9703fcca63,left_only
1082,53908a9620f70186a0da4eec,vertical data migration in large nearline document archives based on markovchain predictions,"achim kraiss, gerhard weikum",vldb 97 proceedings of the 23rd international conference on very large data bases,1997,2422,53e9aed1b7602d97038fced8,integrated document caching and prefetching in storage hierarchies based on markovchain predictions,"achim kraiss, gerhard weikum",vldb j,1998,4188,0.5333333333333333,53908a9620f70186a0da4eec53e9aed1b7602d97038fced8,left_only
1088,53908b2a20f70186a0db9097,"physical data independence, constraints, and optimization with universal plans","alin deutsch, lucian popa, val tannen",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2474,53e9b648b7602d97041a5efe,"review  physical data independence, constraints, and optimization with universal plans",laura m haas,acm sigmod digital review,1999,4469,0.63625,53908b2a20f70186a0db909753e9b648b7602d97041a5efe,left_only
1108,53908b4920f70186a0dbab12,timber a native xml database,"h v jagadish, s alkhalifa, a chapman, l v s lakshmanan, a nierman, s paparizos, j m patel, d srivastava, n wiwatwattana, y wu, c yu",the vldb journal  the international journal on very large data bases,2002,2507,53e9b708b7602d97042a0e42,timber a native system for querying xml,"stelios paparizos, shurug alkhalifa, adriane chapman, h v jagadish, laks v s lakshmanan, andrew nierman, jignesh m patel, divesh srivastava, nuwee wiwatwattana, yuqing wu, cong yu",sigmod conference,2003,3813,0.536986301369863,53908b4920f70186a0dbab1253e9b708b7602d97042a0e42,left_only
1113,53908b4920f70186a0dbab18,foreword by the vldb 98 pc chairmen,"o shmueli, j widom",the vldb journal  the international journal on very large data bases,2000,2497,53e9a5c5b7602d9702eee821,foreword by the vldb 98 pc chairmen best papers of vldb 98,"jennifer widom, oded shmueli",vldb j,2000,4911,0.6499999999999999,53908b4920f70186a0dbab1853e9a5c5b7602d9702eee821,left_only
1115,53908b4920f70186a0dbab1b,the lham logstructured history data access method,"peter muth, patrick oneil, achim pick, gerhard weikum",the vldb journal  the international journal on very large data bases,2000,2500,53e9acaeb7602d970368c6ab,"design, implementation, and performance of the lham logstructured history data access method","peter muth, patrick e oneil, achim pick, gerhard weikum",vldb,1998,3882,0.6960884353741497,53908b4920f70186a0dbab1b53e9acaeb7602d970368c6ab,left_only
1118,53908b4920f70186a0dbab1c,clustering categorical data an approach based on dynamical systems,"david gibson, jon kleinberg, prabhakar raghavan",the vldb journal  the international journal on very large data bases,2000,2511,53e9b9e1b7602d97045dbaa6,review  clustering categorical data an approach based on dynamical systems,raymond t ng,acm sigmod digital review,1999,4473,0.6407142857142857,53908b4920f70186a0dbab1c53e9b9e1b7602d97045dbaa6,left_only
1136,53908b4920f70186a0dbabbc,exploiting early sorting and early partitioning for decision support query processing,"j claussen, a kemper, d kossmann, c wiesner",the vldb journal  the international journal on very large data bases,2000,2581,53e9987db7602d97020b3cd0,exploiting early sorting and early partitioning for decisionsupport query processing,"jens claußen, alfons kemper, donald kossmann, christian wiesner",vldb j,2000,4160,0.6475524475524475,53908b4920f70186a0dbabbc53e9987db7602d97020b3cd0,left_only
1142,53908b4920f70186a0dbabbf,online dynamic reordering,"vijayshankar raman, bhaskaran raman, joseph m hellerstein",the vldb journal  the international journal on very large data bases,2000,2580,53e9bbc2b7602d970480bd4c,online dynamic reordering for interactive data processing,"vijayshankar raman, bhaskaran raman, joseph m hellerstein",vldb,1999,4883,0.6,53908b4920f70186a0dbabbf53e9bbc2b7602d970480bd4c,left_only
1144,53908b4920f70186a0dbabc1,combining multivisual features for efficient indexing in a large image database,"anne h h ngu, quan z sheng, du q huynh, ron lei",the vldb journal  the international journal on very large data bases,2001,2579,53e9b451b7602d9703f4a5c1,cmvf a novel dimension reduction scheme for efficient indexing in a large image database,"jialie shen, anne h h ngu, john shepherd, du q huynh, quan z sheng",sigmod conference,2003,4384,0.5177966101694915,53908b4920f70186a0dbabc153e9b451b7602d9703f4a5c1,left_only
1154,53908b4920f70186a0dbabca,fast joins using join indices,"zhe li, kenneth a ross",the vldb journal  the international journal on very large data bases,1999,2575,53e9a5c5b7602d9702ef0643,review  fast joins using join indices,alfons kemper,acm sigmod digital review,1999,4497,0.6106060606060606,53908b4920f70186a0dbabca53e9a5c5b7602d9702ef0643,left_only
1168,53908b4920f70186a0dbabd7,integrated document caching and prefetching in storage hierarchies based on markovchain predictions,"achim kraiss, gerhard weikum",the vldb journal  the international journal on very large data bases,1998,2557,53e9a8dbb7602d970322a19e,vertical data migration in large nearline document archives based on markovchain predictions,"achim kraiss, gerhard weikum",vldb,1997,3139,0.5333333333333333,53908b4920f70186a0dbabd753e9a8dbb7602d970322a19e,left_only
1179,53908b4920f70186a0dbabe0,"the hb pitree a multiattribute index supporting concurrency, recovery and node consolidation","georgios evangelidis, david lomet, betty salzberg",the vldb journal  the international journal on very large data bases,1997,2553,53e99d4cb7602d9702603dec,"the hbptree a modified hbtree supporting concurrency, recovery and node consolidation","georgios evangelidis, david b lomet, betty salzberg",vldb,1995,4289,0.6672108843537414,53908b4920f70186a0dbabe053e99d4cb7602d9702603dec,left_only
1183,53908b4920f70186a0dbabe3,data placement in sharednothing parallel database systems,"manish mehta, david j dewitt",the vldb journal  the international journal on very large data bases,1997,2609,53e9b9a7b7602d970459bece,managing intraoperator parallelism in parallel database systems,"manish mehta 0002, david j dewitt",vldb,1995,4875,0.5316129032258063,53908b4920f70186a0dbabe353e9b9a7b7602d970459bece,left_only
1194,53908b4920f70186a0dbabee,erratuma database model for object dynamics,"m p papazoglou, b j kr228mer",the vldb journal  the international journal on very large data bases,1997,2611,53e9a122b7602d9702a11fe0,a database model for object dynamics,"mike p papazoglou, bernd j krämer",vldb j,1997,3896,0.6538461538461539,53908b4920f70186a0dbabee53e9a122b7602d9702a11fe0,left_only
